species,fisheries_target
Plagiotremus tapeinosoma,1
Plectorhinchus flavomaculatus,2
Plectroglyphidodon dickii,1
Plectroglyphidodon johnstonianus,1
Plectroglyphidodon lacrymatus,1
Plectropomus leopardus,3
Plectropomus maculatus,3
Plotosus lineatus,1
Pomacanthus sexstriatus,1
Pomacentrus adelus,1
Pomacentrus amboinensis,1
Pomacentrus australis,1
Pomacentrus bankanensis,1
Pomacentrus brachialis,1
Pomacentrus chrysurus,1
Pomacentrus coelestis,1
Pomacentrus grammorhynchus,1
Pomacentrus lepidogenys,1
Pomacentrus milleri,1
Pomacentrus moluccensis,1
Pomacentrus nagasakiensis,1
Pomacentrus philippinus,1
Pomacentrus vaiuli,1
Pomacentrus wardi,1
Prionurus maculatus,2
Prionurus microlepidotus,2
Psammoperca waigiensis,3
Pseudanthias pascalus,1
Pseudanthias squamipinnis,1
Pseudanthias tuka,1
Pseudocaranx georgianus,3
Pseudocheilinus hexataenia,1
Pseudochromis fuscus,1
Pseudolabrus biserialis,1
Pseudolabrus guentheri,2
Pseudolabrus luculentus,1
Pseudolabrus mortonii,2
Ptereleotris evides,1
Ptereleotris microlepis,1
Pterocaesio digramma,1
Pterocaesio marri,1
Pterocaesio tile,1
Pterocaesio trilineata,1
Rhabdosargus sarba,3
Scarus altipinnis,1
Scarus chameleon,1
Scarus flavipectoralis,1
Scarus frenatus,1
Scarus ghobban,1
Scarus niger,1
Scarus prasiognathos,1
Scarus rivulatus,1
Scarus schlegeli,1
Schuettea scalaripinnis,1
Schuettea woodwardi,1
Scobinichthys granulatus,2
Scolopsis bilineata,1
Scorpis aequipinnis,3
Scorpis georgiana,2
Scorpis lineolata,3
Seriola lalandi,3
Serranocirrhitus latus,1
Siganus doliatus,1
Siganus fuscescens,1
Siganus virgatus,1
Siphonognathus beddomei,1
Sphyraena obtusata,2
Stegastes apicalis,1
Stegastes fasciolatus,1
Stegastes gascoynei,1
Stegastes nigricans,1
Stegastes obreptus,1
Stethojulis bandanensis,1
Stethojulis interrupta,1
Stethojulis strigiventer,1
Sufflamen chrysopterum,1
Thalassoma amblycephalum,1
Thalassoma hardwicke,1
Thalassoma jansenii,1
Thalassoma lunare,1
Thalassoma lutescens,1
Thalassoma nigrofasciatum,1
Thalassoma quinquevittatum,1
Tilodon sexfasciatus,1
Torquigener pleurogramma,1
Trachinops caudimaculatus,1
Trachinops noarlungae,1
Trachinops taeniatus,1
Trachurus declivis,3
Trachurus novaezelandiae,3
Upeneichthys lineatus,3
Upeneichthys vlamingii,3
Valenciennea muralis,1
Zanclus cornutus,1
Zebrasoma scopas,1
Zebrasoma veliferum,1
