species,fisheries_target
Ostorhinchus aureus,rarely
Ostorhinchus compressus,rarely
Oxycheilinus digrammus,rarely
Oxycheilinus unifasciatus,rarely
Oxymonacanthus longirostris,rarely
Paracaesio xanthura,rarely
Paracirrhites arcatus,rarely
Paracirrhites forsteri,rarely
Parapercis haackei,rarely
Parapriacanthus elongatus,rarely
Parequula melbournensis,rarely
Parma mccullochi,rarely
Parma microlepis,rarely
Parma occidentalis,rarely
Parma polylepis,rarely
Parma unifasciata,rarely
Parma victoriae,rarely
Parupeneus barberinoides,occasionally
Parupeneus crassilabris,occasionally
Parupeneus multifasciatus,occasionally
Parupeneus spilurus,occasionally
Pempheris affinis,rarely
Pempheris analis,rarely
Pempheris compressa,rarely
Pempheris klunzingeri,rarely
Pempheris multiradiata,rarely
Pempheris oualensis,rarely
Pictilabrus laticlavius,occasionally
Pictilabrus viridis,rarely
Plagiotremus rhinorhynchos,rarely
Plagiotremus tapeinosoma,rarely
Plectorhinchus flavomaculatus,occasionally
Plectroglyphidodon dickii,rarely
Plectroglyphidodon johnstonianus,rarely
Plectroglyphidodon lacrymatus,rarely
Plectropomus leopardus,often
Plectropomus maculatus,often
Plotosus lineatus,rarely
Pomacanthus sexstriatus,rarely
Pomacentrus adelus,rarely
Pomacentrus amboinensis,rarely
Pomacentrus australis,rarely
Pomacentrus bankanensis,rarely
Pomacentrus brachialis,rarely
Pomacentrus chrysurus,rarely
Pomacentrus coelestis,rarely
Pomacentrus grammorhynchus,rarely
Pomacentrus lepidogenys,rarely
Pomacentrus milleri,rarely
Pomacentrus moluccensis,rarely
Pomacentrus nagasakiensis,rarely
Pomacentrus philippinus,rarely
Pomacentrus vaiuli,rarely
Pomacentrus wardi,rarely
Prionurus maculatus,occasionally
Prionurus microlepidotus,occasionally
Psammoperca waigiensis,often
Pseudanthias pascalus,rarely
Pseudanthias squamipinnis,rarely
Pseudanthias tuka,rarely
Pseudocaranx georgianus,often
Pseudocheilinus hexataenia,rarely
Pseudochromis fuscus,rarely
Pseudolabrus biserialis,rarely
Pseudolabrus guentheri,occasionally
Pseudolabrus luculentus,rarely
Pseudolabrus mortonii,occasionally
Ptereleotris evides,rarely
